WARNING 2019-08-14 03:40:11,615 basehttp 124 "GET /static/404.html HTTP/1.1" 404 1637
INFO 2019-08-14 03:43:14,419 basehttp 124 "GET /static/404.html HTTP/1.1" 200 992
INFO 2019-08-14 03:43:14,464 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-08-14 03:43:14,473 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2019-08-14 03:43:14,476 basehttp 124 "GET /static/images/missing.png HTTP/1.1" 200 53248
WARNING 2019-08-14 03:43:28,333 basehttp 124 "GET /static/haha.png HTTP/1.1" 404 1637
INFO 2019-08-14 03:44:34,722 basehttp 124 "GET /static/haha.jpg HTTP/1.1" 200 230251
INFO 2019-08-14 06:50:54,104 basehttp 124 "GET /register HTTP/1.1" 301 0
INFO 2019-08-14 06:50:54,151 basehttp 124 "GET /register/ HTTP/1.1" 200 4535
INFO 2019-08-14 06:50:54,290 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-08-14 06:50:54,294 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 80
INFO 2019-08-14 06:50:54,302 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-08-14 06:50:54,303 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19365
INFO 2019-08-14 06:50:54,304 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2019-08-14 06:50:54,419 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-08-14 06:50:54,420 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2019-08-14 06:50:54,422 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
ERROR 2019-08-14 06:50:54,812 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 06:50:55,011 basehttp 124 "GET /image_codes/4689d99e-d40b-44dd-9694-f6290c9659a9/ HTTP/1.1" 400 62244
INFO 2019-08-14 08:32:50,866 basehttp 124 "GET /register/ HTTP/1.1" 200 4535
ERROR 2019-08-14 08:32:51,550 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:32:51,696 basehttp 124 "GET /image_codes/33a47c99-5ef6-427d-abfc-b8352e8a8c06/ HTTP/1.1" 400 62245
ERROR 2019-08-14 08:32:57,080 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:32:57,145 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
ERROR 2019-08-14 08:33:04,833 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:33:04,899 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
ERROR 2019-08-14 08:33:11,190 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
ERROR 2019-08-14 08:33:11,216 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:33:11,226 csrf 160 Forbidden (CSRF cookie not set.): /register/
WARNING 2019-08-14 08:33:11,245 basehttp 124 "POST /register/ HTTP/1.1" 403 2857
WARNING 2019-08-14 08:33:11,471 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
WARNING 2019-08-14 08:33:11,513 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
INFO 2019-08-14 08:34:17,744 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-14 08:34:17,914 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:34:18,072 basehttp 124 "GET /image_codes/14d65b85-1b81-4c5b-a928-58c15acd7f25/ HTTP/1.1" 400 62245
WARNING 2019-08-14 08:34:21,851 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-08-14 08:34:27,048 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-14 08:35:04,639 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:35:04,718 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
ERROR 2019-08-14 08:35:11,915 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:35:11,976 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
ERROR 2019-08-14 08:35:22,453 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
ERROR 2019-08-14 08:35:22,472 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:35:22,481 base 93 Method Not Allowed (POST): /register/
WARNING 2019-08-14 08:35:22,547 basehttp 124 "POST /register/ HTTP/1.1" 405 0
WARNING 2019-08-14 08:35:22,612 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
WARNING 2019-08-14 08:35:22,678 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
INFO 2019-08-14 08:36:35,707 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-14 08:36:35,892 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:36:36,200 basehttp 124 "GET /image_codes/b7d12bdd-9962-44fb-af3e-0a13e9f8e692/ HTTP/1.1" 400 62245
ERROR 2019-08-14 08:36:39,795 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:36:39,900 basehttp 124 "GET /usernames/fdffdfdf/count/ HTTP/1.1" 400 62115
ERROR 2019-08-14 08:36:41,184 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:36:41,256 basehttp 124 "GET /usernames/fdffdfdf/count/ HTTP/1.1" 400 62115
ERROR 2019-08-14 08:36:48,030 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 08:36:48,121 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
ERROR 2019-08-14 08:36:50,509 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
ERROR 2019-08-14 08:36:50,529 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
INFO 2019-08-14 08:36:50,570 basehttp 124 "POST /register/ HTTP/1.1" 302 0
WARNING 2019-08-14 08:36:50,766 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
WARNING 2019-08-14 08:36:50,801 basehttp 124 "GET /usernames/fdffdfdf/count/ HTTP/1.1" 400 62115
INFO 2019-08-14 09:03:22,263 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-14 09:03:22,931 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 09:03:23,031 basehttp 124 "GET /image_codes/1ac38610-f66a-45d9-8774-d4a59f08f9a6/ HTTP/1.1" 400 62245
INFO 2019-08-14 09:03:35,431 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-14 09:03:35,535 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 09:03:35,697 basehttp 124 "GET /image_codes/ddfe385d-7346-475f-9862-0bf7efadbed0/ HTTP/1.1" 400 62245
ERROR 2019-08-14 09:03:39,546 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 09:03:39,638 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
ERROR 2019-08-14 09:03:46,649 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 09:03:46,744 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
ERROR 2019-08-14 09:03:59,206 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
ERROR 2019-08-14 09:03:59,213 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-14 09:03:59,296 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
WARNING 2019-08-14 09:03:59,337 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
ERROR 2019-08-14 09:04:10,665 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
ERROR 2019-08-14 09:04:10,689 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
INFO 2019-08-14 09:04:10,715 basehttp 124 "POST /register/ HTTP/1.1" 302 0
WARNING 2019-08-14 09:04:10,861 basehttp 124 "GET /usernames/aaaaa/count/ HTTP/1.1" 400 62082
WARNING 2019-08-14 09:04:10,872 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
WARNING 2019-08-15 01:17:09,262 base 152 Not Found: /
WARNING 2019-08-15 01:17:09,270 basehttp 124 "GET / HTTP/1.1" 404 2075
WARNING 2019-08-15 01:17:09,972 base 152 Not Found: /favicon.ico
WARNING 2019-08-15 01:17:09,973 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2126
INFO 2019-08-15 01:17:11,924 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-15 01:17:12,382 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:17:12,528 basehttp 124 "GET /image_codes/bf4d2cb2-ecf3-4766-b304-2879f7b7f939/ HTTP/1.1" 400 62245
ERROR 2019-08-15 01:17:19,030 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:17:19,113 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 400 62093
ERROR 2019-08-15 01:17:27,308 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:17:27,374 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
ERROR 2019-08-15 01:17:30,396 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
ERROR 2019-08-15 01:17:30,420 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:17:30,735 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 400 62126
WARNING 2019-08-15 01:17:30,759 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 400 62093
INFO 2019-08-15 01:17:30,895 basehttp 124 "POST /register/ HTTP/1.1" 302 0
INFO 2019-08-15 01:24:01,046 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-15 01:24:01,898 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:24:02,019 basehttp 124 "GET /image_codes/9ee9bbee-437e-4f34-98f1-9f5dcf3373dd/ HTTP/1.1" 400 62407
